,city_id,city,country_id,last_update
0,1,A Corua (La Corua),87,2006-02-15 04:45:25
1,2,Abha,82,2006-02-15 04:45:25
2,3,Abu Dhabi,101,2006-02-15 04:45:25
3,4,Acua,60,2006-02-15 04:45:25
4,5,Adana,97,2006-02-15 04:45:25
5,6,Addis Abeba,31,2006-02-15 04:45:25
6,7,Aden,107,2006-02-15 04:45:25
7,8,Adoni,44,2006-02-15 04:45:25
8,9,Ahmadnagar,44,2006-02-15 04:45:25
9,10,Akishima,50,2006-02-15 04:45:25
10,11,Akron,103,2006-02-15 04:45:25
11,12,al-Ayn,101,2006-02-15 04:45:25
12,13,al-Hawiya,82,2006-02-15 04:45:25
13,14,al-Manama,11,2006-02-15 04:45:25
14,15,al-Qadarif,89,2006-02-15 04:45:25
15,16,al-Qatif,82,2006-02-15 04:45:25
16,17,Alessandria,49,2006-02-15 04:45:25
17,18,Allappuzha (Alleppey),44,2006-02-15 04:45:25
18,19,Allende,60,2006-02-15 04:45:25
19,20,Almirante Brown,6,2006-02-15 04:45:25
20,21,Alvorada,15,2006-02-15 04:45:25
21,22,Ambattur,44,2006-02-15 04:45:25
22,23,Amersfoort,67,2006-02-15 04:45:25
23,24,Amroha,44,2006-02-15 04:45:25
24,25,Angra dos Reis,15,2006-02-15 04:45:25
25,26,Anpolis,15,2006-02-15 04:45:25
26,27,Antofagasta,22,2006-02-15 04:45:25
27,28,Aparecida de Goinia,15,2006-02-15 04:45:25
28,29,Apeldoorn,67,2006-02-15 04:45:25
29,30,Araatuba,15,2006-02-15 04:45:25
30,31,Arak,46,2006-02-15 04:45:25
31,32,Arecibo,77,2006-02-15 04:45:25
32,33,Arlington,103,2006-02-15 04:45:25
33,34,Ashdod,48,2006-02-15 04:45:25
34,35,Ashgabat,98,2006-02-15 04:45:25
35,36,Ashqelon,48,2006-02-15 04:45:25
36,37,Asuncin,73,2006-02-15 04:45:25
37,38,Athenai,39,2006-02-15 04:45:25
38,39,Atinsk,80,2006-02-15 04:45:25
39,40,Atlixco,60,2006-02-15 04:45:25
40,41,Augusta-Richmond County,103,2006-02-15 04:45:25
41,42,Aurora,103,2006-02-15 04:45:25
42,43,Avellaneda,6,2006-02-15 04:45:25
43,44,Bag,15,2006-02-15 04:45:25
44,45,Baha Blanca,6,2006-02-15 04:45:25
45,46,Baicheng,23,2006-02-15 04:45:25
46,47,Baiyin,23,2006-02-15 04:45:25
47,48,Baku,10,2006-02-15 04:45:25
48,49,Balaiha,80,2006-02-15 04:45:25
49,50,Balikesir,97,2006-02-15 04:45:25
50,51,Balurghat,44,2006-02-15 04:45:25
51,52,Bamenda,19,2006-02-15 04:45:25
52,53,Bandar Seri Begawan,16,2006-02-15 04:45:25
53,54,Banjul,37,2006-02-15 04:45:25
54,55,Barcelona,104,2006-02-15 04:45:25
